DateTime,comp1.Air.T,comp1.Air.RH,comp1.Air.ppm,common.Iglob.Value,common.Tout.Value,common.RHout.Value,common.Windsp.Value,comp1.PARsensor.Above,comp1.TPipe1.Value,comp1.ConPipes.TSupPipe1,comp1.PConPipe1.Value,comp1.ConWin.WinLee,comp1.ConWin.WinWnd,comp1.Setpoints.SpHeat,comp1.Setpoints.SpVent,comp1.Scr1.Pos,comp1.Scr2.Pos,comp1.Lmp1.ElecUse,comp1.McPureAir.Value,comp1.Setpoints.SpCO2,comp1.Growth.FruitFreshweight,comp1.Growth.DVSfruit,comp1.Growth.DryMatterFract,comp1.Growth.CropAbs,comp1.Growth.PlantDensity,common.ElecPrice.PeakHour,comp1.Growth.WaterUsePerPot,comp1.Growth.RedFruitsWeight
2023-09-05 01:00:00,18.84,68.9,400.0,0.0,16.8,86.4,0.8,0.0,47.52228457732321,52.9,130.8,5.9,0.0,18.0,19.0,0.0,0.92,0.0,0.0,310.0,0.0,0.0,0.0,0.0,56.0,0.0,2.0,0.0
2023-09-05 02:00:00,20.68,64.2,402.0,0.0,16.4,87.3,1.3,0.0,39.30810950271373,38.8,14.8,21.8,0.0,18.0,19.0,0.0,0.991,0.0,0.0,300.0,0.0,0.0,0.0,0.0,56.0,0.0,2.0,0.0
2023-09-05 03:00:00,20.19,69.3,405.0,0.0,16.3,86.9,2.0,0.0,37.01027226599877,39.1,33.1,16.8,0.0,18.0,19.0,0.0,0.997,0.0,0.0,300.0,0.0,0.0,0.0,0.0,56.0,0.0,2.0,0.0
2023-09-05 04:00:00,20.11,71.8,409.0,0.0,16.1,86.7,1.9,0.0,36.99880959141104,39.1,33.2,14.5,0.0,18.0,19.0,0.0,0.999,0.0,0.0,300.0,0.0,0.0,0.0,0.0,56.0,0.0,2.0,0.0
2023-09-05 05:00:00,20.0,73.4,411.0,0.0,15.4,88.9,0.6,0.0,36.98342386713557,39.2,34.1,12.5,0.0,18.0,19.0,0.0,1.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,56.0,0.0,2.0,0.0
2023-09-05 06:00:00,19.95,73.7,412.0,6.0,15.0,90.0,0.1,4.0,39.1708945505851,42.4,50.9,10.7,0.0,18.0,19.0,0.0,0.75,0.0,0.0,327.0,0.0,0.0,0.0,0.0,56.0,0.0,2.0,0.0
2023-09-05 07:00:00,20.12,74.0,446.0,55.0,15.7,87.1,0.3,75.0,43.329345884819695,47.0,57.1,2.9,0.0,19.3,20.3,0.0,0.0,0.0,6.481481481481481e-07,495.0,0.0,0.0,0.0,0.0,56.0,0.08333333333333333,2.0,0.0
2023-09-05 08:00:00,22.29,72.9,863.0,182.0,17.2,80.3,1.0,247.0,55.05526719867131,59.6,108.2,0.0,0.0,22.1,23.1,0.0,0.0,0.0,1.0879629629629629e-06,792.0,0.0,0.0,0.0,0.0,56.0,1.0,2.0,0.0
2023-09-05 09:00:00,25.57,72.9,882.0,335.0,19.0,72.4,2.4,449.0,50.15663922310188,47.5,0.0,0.0,0.0,25.2,26.2,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,56.0,1.0,2.0,0.0
2023-09-05 10:00:00,27.42,77.9,783.0,481.0,21.0,66.2,3.3,649.0,42.15865427081061,41.5,0.0,6.5,0.0,26.0,27.0,0.0,0.0,0.0,6.481481481481481e-07,800.0,0.0,0.0,0.0,0.0,56.0,1.0,2.0,0.0
